id,title,filename,document_type,status,owner,version,classification,storyline,related_documents,expected_findings,expected_use_cases,risk_signals,gold_candidate,difficulty_level,notes
POL-001,Information Security Policy,policies/POL-001_Information_Security_Policy_v1.pdf,policy,superseded,Chief Information Security Officer,1.0,Internal Use,policy_diff,POL-002;TPL-001;AUD-001,Semiannual privileged reviews; 72-hour incident escalation; 180-day log retention; annual review for logical-access vendors.,policy_diff;policy_review;control_extraction,Weaker MFA scope; weaker vendor-review cadence; weaker incident timing; shorter log retention.,yes,easy,"Good baseline, but should include revision history block in a premium v2."
POL-002,Information Security Policy,policies/POL-002_Information_Security_Policy_v2.pdf,policy,approved_current,Chief Information Security Officer,2.0,Internal Use,policy_diff,POL-001;AUD-001;AUD-002;CTR-004;TPL-001,MFA for all workforce accounts; quarterly privileged reviews; critical-vendor pre-onboarding review; 24-hour incident escalation; 12-month log retention; encrypted/tested backups.,policy_diff;policy_review;control_mapping,30-day transition window may create temporary noncompliance; possible ambiguity against Q3/Q4 timing.,yes,easy,Strong diff target; annotate transition timing or align downstream audit dates.
POL-003,Data Retention Policy,policies/POL-003_Data_Retention_Policy.pdf,policy,approved_current,General Counsel,1.2,Internal Use,evidence_chaining,EVD-001;AUD-002;TPL-003,Contracts retained 7 years after termination; access-review evidence retained 3 years; audit reports/remediation plans retained 5 years; deletion must be documented for auditable classes.,policy_review;evidence_pack_review;retention_mapping,Potential mismatch if evidence is not in approved repository or naming convention.,yes,medium,Important but underused in current storyline; elevate in evals.
POL-004,Third-Party Supplier Code of Conduct,policies/POL-004_Third_Party_Supplier_Code_of_Conduct.pdf,policy,approved_current,"VP, Procurement",1.0,Internal / External,contract_gap_detection,CTR-001;CTR-002;AUD-001,48-hour incident notice; least privilege and MFA for privileged users; evidence support for audits; data return/deletion at contract end; business continuity expectations.,policy_review;contract_review;risk_review,"Vendor draft misaligned on incident notice, subprocessor control, data handling, audit support.",yes,medium,Good policy-to-contract alignment source.
CTR-001,Master Services Agreement - Approved Baseline,contracts/CTR-001_Master_Services_Agreement_Approved_Baseline.pdf,contract,approved_baseline,Legal / Procurement,1.0,Confidential,contract_gap_detection,CTR-002;CTR-003;CTR-004;POL-004;TPL-002;MIN-001,48-hour incident notice; remote audit for material concerns; subprocessor advance notice with objection process; 30-day data return/deletion; liability carve-outs; DPA precedence.,contract_review;clause_extraction;benchmark_contract_baseline,None material in baseline; use as approved comparison anchor.,yes,easy,Strong approved comparator.
CTR-002,Master Services Agreement - Vendor Draft,contracts/CTR-002_Master_Services_Agreement_Vendor_Draft.pdf,contract,under_review,Legal / Procurement,0.9,Confidential,contract_gap_detection,CTR-001;CTR-004;POL-004;AUD-001;AUD-002;MIN-001;TPL-002,10-business-day incident notice; no audit right; subprocessor notice only on request; no deletion deadline; de-identified service data/product improvement rights; liability cap includes confidentiality and security claims.,contract_review;gap_analysis;risk_review;comparison_against_template,"Weakened incident, audit, subprocessor, deletion, and liability language; AI/model-improvement style data-use concern; discretionary certification language.",yes,medium,Best single target for contract weakening detection.
CTR-003,Service Level Agreement,contracts/CTR-003_Service_Level_Agreement.pdf,contract_appendix,approved_current,Vendor Management Office,1.1,Confidential,compliance_review,CTR-001;MIN-001,99.9% availability; P1 15-minute response; service credits; planned-maintenance exclusions.,contract_review;sla_extraction;grounded_qa,SLA is operationally clear but not explicitly linked to remediation evidence in current corpus.,no,easy,Useful support doc; could be leveraged more in governance storyline.
CTR-004,Data Processing Addendum,contracts/CTR-004_Data_Processing_Addendum.pdf,contract_addendum,approved_current,Privacy Counsel,1.0,Confidential,contract_gap_detection,CTR-001;CTR-002;POL-002;AUD-001,Quarterly privileged-access recertification; 12-month logging; 48-hour personal-data incident notice; prior notice for subprocessor changes; return/delete in 30 days; compliance assistance.,contract_review;privacy_review;control_mapping,Creates explicit conflict with weaker vendor draft language and strengthens expected findings.,yes,medium,Critical support source in gap analysis.
AUD-001,Internal Audit Checklist - Vendor Controls,audit/AUD-001_Internal_Audit_Checklist_Vendor_Controls.pdf,audit_checklist,issued,Internal Audit,1.0,Internal Use,compliance_review,CTR-002;CTR-004;POL-002;EVD-001;AUD-002,Failed access-review evidence; failed incident-notice alignment; partial subprocessor workflow; partial data deletion timeline; overall partially adequate design.,audit_review;checklist_generation;evidence_chaining,Cross-document inconsistencies surface quickly; Q3 period vs POL-002 effective date needs clarification.,yes,medium,"Very strong review hub, but timeline annotation is needed."
AUD-002,Nonconformance Report - Vendor Access Review,audit/AUD-002_Nonconformance_Report_Vendor_Access_Review.pdf,nonconformance_report,open,Compliance,1.0,Internal Use,evidence_chaining,AUD-001;EVD-001;MIN-001;CTR-002;POL-002,NCR-2025-017; moderate severity; missing privileged vendor accounts in Q3 recertification evidence; four corrective actions with owners and due dates.,issue_extraction;remediation_workflow;owner_deadline_extraction,"Closure blocked until evidence archived, contract aligned, and committee accepts remediation.",yes,medium,Excellent remediation-workflow anchor.
EVD-001,Access Review Evidence Log,audit/EVD-001_Access_Review_Evidence_Log.pdf,evidence_log,partial,Compliance Operations,1.0,Internal Use,evidence_chaining,AUD-001;AUD-002;POL-003;MIN-001;TPL-003,EV-002 missing; EV-005 in progress; missing or in-progress items block control closure; required repository/naming convention.,evidence_pack_review;source_attribution;closure_readiness,Provenance and completeness gaps; owner sign-off missing; no attached artifacts.,yes,hard,Add one noisy/scanned attachment in premium v2.
MIN-001,Governance Committee Minutes and Action Items,audit/MIN-001_Governance_Committee_Minutes_Action_Items.pdf,meeting_minutes,approved_minutes,Corporate Secretary,1.0,Internal Use,remediation_extraction,CTR-002;AUD-002;EVD-001;CTR-001,"Contract cannot be approved unless incident, audit-right, subprocessor, and deletion clauses are revised; four action items with owners/due dates; next meeting scheduled.",action_extraction;meeting_summary_qa;workflow_state_tracking,Approval gate remains open pending evidence and legal redlines.,yes,medium,Strong owner/deadline extraction doc.
TPL-001,Approved Policy Template,templates/TPL-001_Approved_Policy_Template.pdf,template,approved_reference,Compliance Office,1.0,Internal Use,policy_diff,POL-001;POL-002,"Required policy sections include purpose, scope, roles, requirements, exceptions, related docs, revision history.",comparison_against_template;policy_quality_review,Current policies do not include a revision history table despite template expectation.,yes,easy,Useful for formal-structure gap detection.
TPL-002,Approved Contract Review Template,templates/TPL-002_Approved_Contract_Review_Template.pdf,template,approved_reference,Legal Operations,1.0,Internal Use,contract_gap_detection,CTR-001;CTR-002;CTR-004,"Check for <=48-hour incident notice, audit support, subprocessor notice/objection path, deletion/return timeline, liability carve-outs, DPA precedence.",comparison_against_template;contract_review;review_flag_generation,Vendor draft should fail or need revision on several required clauses.,yes,easy,Very strong gold-set source for contract review.
TPL-003,Evidence Pack Template,templates/TPL-003_Evidence_Pack_Template.pdf,template,approved_reference,Compliance Operations,1.0,Internal Use,evidence_chaining,EVD-001;POL-003;AUD-002,"Requires control/obligation, period, owner, reviewer, status, artifact register, sign-off, remediation owner and due date for missing items.",comparison_against_template;evidence_pack_review;closure_readiness,Current evidence log lacks explicit reviewer sign-off and complete artifact metadata.,yes,medium,Strong template for pack-completeness checks.
